id,nome,telefone,endereco,cidade,tipo_servico,avaliacao,link_maps,status,created_at,updated_at
1,Mérito Acompanhamento Escolar,(62) 3642-7613,Avenida dos Alpes,Aparecida de Goiânia-GO,Aulas particulares,"4,8",https://www.google.com/maps/place/M%C3%A9rito+Acompanhamento+Escolar/data=!4m7!3m6!1s0x935ef6ea7f01cb89:0x4b218cf1d0ddccbe!8m2!3d-16.70698!4d-49.303849!16s%2Fg%2F1vvdw987!19sChIJicsBf-r2XpMRvszd0PGMIUs?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
2,Betel Reforço escolar e Atendimento Psicopedagógico,(62) 99819-0354,"R. Brasília, Q 40 - L 03",Aparecida de Goiânia-GO,Aulas particulares,"5,0",https://www.google.com/maps/place/Betel+Refor%C3%A7o+escolar+e+Atendimento+Psicopedag%C3%B3gico/data=!4m7!3m6!1s0x935ef7eea2ce0f2d:0x23a97479e994ba65!8m2!3d-16.7972621!4d-49.3572741!16s%2Fg%2F11x90pjml2!19sChIJLQ_Oou73XpMRZbqU6Xl0qSM?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
3,Escola De Reforço Saber Mais,(62) 99551-9243,·,Aparecida de Goiânia-GO,Instituição educacional,"5,0",https://www.google.com/maps/place/Escola+De+Refor%C3%A7o+Saber+Mais/data=!4m7!3m6!1s0x935efbd9722983ef:0x6f47dd2da381a1d9!8m2!3d-16.752675!4d-49.224114!16s%2Fg%2F11n_wf10c2!19sChIJ74Mpctn7XpMR2aGBoy3dR28?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
4,Aulas de reforço Professora Márcia (tia Marcinha) especialista em alfabetização ajuda nas tarefas trabalhos leitura,(62) 98598-7862,·,Aparecida de Goiânia-GO,Escola,"5,0",https://www.google.com/maps/place/Aulas+de+refor%C3%A7o+Professora+M%C3%A1rcia+%28tia+Marcinha%29+especialista+em+alfabetiza%C3%A7%C3%A3o+ajuda+nas+tarefas+trabalhos+leitura/data=!4m7!3m6!1s0x935ef9f962188c9b:0x1cdfa8b681902efa!8m2!3d-16.7985179!4d-49.347291!16s%2Fg%2F11tcxp7jtv!19sChIJm4wYYvn5XpMR-i6Qgbao3xw?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
5,"Company Coelho - Psicopedagogia, Aulas Particulares e Reforço Escolar em Aparecida de Goiânia",(62) 99289-7664,"Rua Luis Astolfo de Amorim (esquina com a rua x-06, chácara, 4 - qd E",Aparecida de Goiânia-GO,Aulas particulares,"5,0","https://www.google.com/maps/place/Company+Coelho+-+Psicopedagogia,+Aulas+Particulares+e+Refor%C3%A7o+Escolar+em+Aparecida+de+Goi%C3%A2nia/data=!4m7!3m6!1s0x935ef908031739b3:0xc07dd99b6bc5de4!8m2!3d-16.7879217!4d-49.2861626!16s%2Fg%2F11thlrwzr1!19sChIJszkXAwj5XpMR5F28tpndBww?authuser=0&hl=pt-BR&rclk=1",novo,2026-01-27 14:07:53,2026-01-27 14:07:53
6,Reforço Escolar Tia Manu,(62) 98485-2259,Av. V-4 Qd.158 Lt. 06 Cidade Vera Cruz ll,Aparecida de Goiânia-GO,Educador(a) especial,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Tia+Manu/data=!4m7!3m6!1s0x935ef9c59edd4497:0xf49f59bee67e186e!8m2!3d-16.7606351!4d-49.2928654!16s%2Fg%2F11why_5jzv!19sChIJl0TdnsX5XpMRbhh-5r5Zn_Q?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
7,Apoio pedagogico professora Nádya Lisboa,(62) 98540-7703,·,Aparecida de Goiânia-GO,Aulas particulares,"5,0",https://www.google.com/maps/place/Apoio+pedagogico+professora+N%C3%A1dya+Lisboa/data=!4m7!3m6!1s0x935efb9aa913b547:0x53b4d115bb9e5f24!8m2!3d-16.7807555!4d-49.2706479!16s%2Fg%2F11tk77gmyn!19sChIJR7UTqZr7XpMRJF-euxXRtFM?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
8,Reforço Escolar - Prof Cristiane Maria,(62) 99816-2617,"Av. das Mangueiras, Qd. 48 - Lt. 09",Aparecida de Goiânia-GO,Educador(a) especial,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+-+Prof+Cristiane+Maria/data=!4m7!3m6!1s0x935efba16911d421:0x1d6fcc2f3a5e59c5!8m2!3d-16.7601045!4d-49.2570064!16s%2Fg%2F11w21gq1gt!19sChIJIdQRaaH7XpMRxVleOi_Mbx0?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
9,Para Casa Espaço Pedagógico - Reforço Escolar,(62) 98132-7888,·,Aparecida de Goiânia-GO,Aulas particulares,"5,0",https://www.google.com/maps/place/Para+Casa+Espa%C3%A7o+Pedag%C3%B3gico+-+Refor%C3%A7o+Escolar/data=!4m7!3m6!1s0x935efb5161fbeb73:0x1b306e6b2983934e!8m2!3d-16.8187711!4d-49.2581411!16s%2Fg%2F11ts2y1z89!19sChIJc-v7YVH7XpMRTpODKWtuMBs?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
10,ABCD Reforço Escolar,(62) 98550-2860,·,Aparecida de Goiânia-GO,Ensino Fundamental,,https://www.google.com/maps/place/ABCD+Refor%C3%A7o+Escolar/data=!4m7!3m6!1s0x935ef100312ce0cb:0xbc3e6f8e929080af!8m2!3d-16.7480434!4d-49.2809278!16s%2Fg%2F11lcj8py2t!19sChIJy-AsMQDxXpMRr4CQko5vPrw?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
11,Reforço Escolar infantil,(62) 99467-8854,·,Aparecida de Goiânia-GO,Educação a domicílio,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+infantil/data=!4m7!3m6!1s0x6f794e158840e01f:0x3c9cd04446f0ab9e!8m2!3d-16.7958819!4d-49.2797329!16s%2Fg%2F11xtm74clv!19sChIJH-BAiBVOeW8RnqvwRkTQnDw?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
12,Reforço Escolar - Espaço Evolução prof. Aline Freitas (aulas particulares/ apoio pedagógico,(62) 99339-3463,"R. dos Andrades, Qd.28 - Lt 10",Aparecida de Goiânia-GO,Aulas particulares,,https://www.google.com/maps/place/Refor%C3%A7o+Escolar+-+Espa%C3%A7o+Evolu%C3%A7%C3%A3o+prof.+Aline+Freitas+%28aulas+particulares%2F+apoio+pedag%C3%B3gico/data=!4m7!3m6!1s0x935efb9e31d821a7:0xfc6f29c657e126b3!8m2!3d-16.825203!4d-49.2519669!16s%2Fg%2F11vkgdp28_!19sChIJpyHYMZ77XpMRsybhV8Ypb_w?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
13,Reforço Escolar Apoema,(79) 99600-2361,·,Aracaju-SE,Centro Educacional,"4,7",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Apoema/data=!4m7!3m6!1s0x71ab1e7531a3a5d:0x4375f0a6ff001ed0!8m2!3d-10.9701491!4d-37.0686077!16s%2Fg%2F11rghctj3x!19sChIJXToaU-exGgcR0B4A_6bwdUM?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
14,Reforço Escolar Essencial,(79) 99949-0572,"Av. Padre Nestor Sampaio, 306",Aracaju-SE,Aulas particulares,"4,9",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Essencial/data=!4m7!3m6!1s0x71ab3c0b774fc71:0xaba73334fc2f1fe0!8m2!3d-10.9372238!4d-37.0660059!16s%2Fg%2F11h07ynqy!19sChIJcfx0t8CzGgcR4B8v_DQzp6s?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
15,Reforço Escolar Oficina do Saber,(79) 98835-2781,·,Aracaju-SE,Escola,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Oficina+do+Saber/data=!4m7!3m6!1s0x71ab38f4edb132d:0x8c8a68e04c75109!8m2!3d-10.932882!4d-37.055064!16s%2Fg%2F11gs4rzwdn!19sChIJLRPbTo-zGgcRCVHHBI6myAg?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
16,Reforço escolar Tia Rozana,(79) 98854-5215,·,Aracaju-SE,Centro de educação pré-escolar,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+escolar+Tia+Rozana/data=!4m7!3m6!1s0x71ab3ea2614ffdf:0x6f4680162b8d103e!8m2!3d-10.8870901!4d-37.0756998!16s%2Fg%2F11shn_8qf8!19sChIJ3_8UJuqzGgcRPhCNKxaARm8?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
17,Reforço Escolar Futuro Esplêndido | Reforço Escolar no Ponto Novo,(79) 98853-3533,·,Aracaju-SE,Escola,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Futuro+Espl%C3%AAndido+%7C+Refor%C3%A7o+Escolar+no+Ponto+Novo/data=!4m7!3m6!1s0x71ab3df2e53cee9:0xef49db66e5affd25!8m2!3d-10.9368247!4d-37.0704798!16s%2Fg%2F11nz17893j!19sChIJ6c5TLt-zGgcRJf2v5WbbSe8?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
18,Reforço Escolar Evoluir,(79) 99123-8614,·,Aracaju-SE,Escola,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Evoluir/data=!4m7!3m6!1s0x71ab3bd3fae3023:0x9252c24e0bc93229!8m2!3d-10.9074266!4d-37.0711098!16s%2Fg%2F11h0094_jx!19sChIJIzCuP72zGgcRKTLJC07CUpI?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
19,Aprimore Reforço Escolar,(79) 99971-9834,·,Aracaju-SE,Aulas particulares,"4,9",https://www.google.com/maps/place/Aprimore+Refor%C3%A7o+Escolar/data=!4m7!3m6!1s0x71ab3366337601b:0x52ef92c178d73bb7!8m2!3d-10.94474!4d-37.0674101!16s%2Fg%2F11tf393vwn!19sChIJG2A3YzazGgcRtzvXeMGS71I?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
20,Reforço Escolar Imaculada Conceição,(79) 3231-2182,·,Aracaju-SE,Aulas particulares,"4,9",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Imaculada+Concei%C3%A7%C3%A3o/data=!4m7!3m6!1s0x71ab3bf1f89fd53:0x39478216e6f8fbfe!8m2!3d-10.9370329!4d-37.0671057!16s%2Fg%2F1tj73s_d!19sChIJU_2JH7-zGgcR_vv45haCRzk?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
21,Reforço Escolar Alegria De Saber,01940694,·,Aracaju-SE,Escola,"5,0",https://www.google.com/maps/place/Refor%C3%A7o+Escolar+Alegria+De+Saber/data=!4m7!3m6!1s0x71ab320da8ce287:0x9bddaf23ad21c75e!8m2!3d-10.892999!4d-37.080822!16s%2Fg%2F11cs2wlz0g!19sChIJh-KM2iCzGgcRXschrSOv3Zs?authuser=0&hl=pt-BR&rclk=1,novo,2026-01-27 14:07:53,2026-01-27 14:07:53
